category,subcategory,brand,model,wattage
EV Charger,EV Charger,Delta,EIAW-U11KSSU7A04,11.5200
EV Charger,EV Charger,"Deltran Battery Tender,                          ,",022-3019-XX-XX,11.5200
EV Charger,EV Charger,Lectron,V-BOX,11.5200
EV Charger,EV Charger,EATON,GMEV48CMC1-WC,11.5200
EV Charger,EV Charger,AA,EVC48A-LV2,11.5200
EV Charger,EV Charger,Electric Avenue Manufacturing,EAWPLT48-25WI1HWXX,11.5200
EV Charger,EV Charger,Electron Charger,EC-EVC10/48AC/01C/XX/RF/4G,11.5200
EV Charger,EV Charger,Emporia Corp,EMEVSE1,11.5200
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBO481RNA-HBWX-200,11.5200
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBX481AJ-001,11.5200
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBX481AJ,11.5200
EV Charger,EV Charger,EpicCharging,EC1/48AC/01C/XX/RF/4G,11.5200
EV Charger,EV Charger,Espen,EVC/A48S/JXX/EG/5D,11.5200
EV Charger,EV Charger,Espen,EVC/A48R/JXX/EW,11.5200
EV Charger,EV Charger,N/A,EVCA48A/RF/R/25C,11.5200
EV Charger,EV Charger,EVBOLT,EVB-AC-PAX11LNWF4G,11.5200
EV Charger,EV Charger,"EVBOLT, Inc.","EVB-AC-B2X7DHD-********, EVB-AC-B2X9DHD-********, EVB-AC-B2X11DHD-********.",11.5200
EV Charger,EV Charger,EV charging,A11-OP-UL-SH,11.5200
EV Charger,EV Charger,EVFastCharge / MOTEN EVFC,MTL-AC-EV48,11.5200
EV Charger,EV Charger,Evmode,EVM-2000,11.5200
EV Charger,EV Charger,GM,EIAW-U11KSSU7E01,11.5200
EV Charger,EV Charger,Greenworks tools,EVC1648,11.5200
EV Charger,EV Charger,HeyCharge GmbH,HW26-YY11S48BXXX,11.5200
EV Charger,EV Charger,INVT,US,11.5200
EV Charger,EV Charger,LONGSUN,EVC-WB50,11.5200
EV Charger,EV Charger,WPT,WPTAC-11KW-S24-TD,11.5200
EV Charger,EV Charger,Sinexcel,SEA240/48I-U-H,11.5200
EV Charger,EV Charger,Sinexcel,SEA240/48I-U-HY,11.5200
EV Charger,EV Charger,TOPBAND,TBAC3111USH-LJK,11.5200
EV Charger,EV Charger,Injet,iM3C-11K5A,11.5200
EV Charger,EV Charger,Siemens Industry Inc,8EM1312-5CF18-0FA3,11.5200
EV Charger,EV Charger,Siemens Industry Inc,8EM1315-5CG14-0GA0,11.5200
EV Charger,EV Charger,Siemens Industry Inc,8EM1317-5CG14-1GA2,11.5200
EV Charger,EV Charger,Smappee NV,EVWNA-248-C18-E-W,11.5200
EV Charger,EV Charger,SPAN IO,SPAN Drive,11.5200
EV Charger,EV Charger,Andeman,WS1,11.5200
EV Charger,EV Charger,Tesla,1457768-##*,11.5200
EV Charger,EV Charger,Universal Wall Connector,1509549-##*,11.5200
EV Charger,EV Charger,Universal Wall Connector,1734412-##*,11.5200
EV Charger,EV Charger,Legrand,LNA-EVC1-48-XX1,11.5200
EV Charger,EV Charger,Turnongreen,CPEVAC-11KW-J17-W,11.5200
EV Charger,EV Charger,Lynkwell,LW101-AC48-N,11.5200
EV Charger,EV Charger,"SPÂ·NICE,",NS240V/32AUS-H01R001,11.5200
EV Charger,EV Charger,DeWalt,DXPAEV048,11.5200
EV Charger,EV Charger,GONEO,D3U-B48B,11.5200
EV Charger,EV Charger,MUSTART,MT-AABGST4NOP-48A23FT-AT,11.5200
EV Charger,EV Charger,Parasol Elite Power,UEVC1L-4810-RLW-PEP,11.5200
EV Charger,EV Charger,Legrand,L2EVSE48AC,11.5200
EV Charger,EV Charger,PHIHONG,AXLU111001D,11.5200
EV Charger,EV Charger,noodoe,AC11P,11.5200
EV Charger,EV Charger,PointGuard,PG EVAC 11.5 WI T1 WH,11.5200
EV Charger,EV Charger,PointGuard,PG EVAC 11.5 WI TS WH,11.5200
EV Charger,EV Charger,CHARGECORE,AC006T111,11.5200
EV Charger,EV Charger,CHARGECORE,AC003PT111,11.5200
EV Charger,EV Charger,sunpoint,UEVC1L-4810-RLW,11.5200
EV Charger,EV Charger,RAB,EVC48,11.5200
EV Charger,EV Charger,Rivian Automotive LLC,PT00057322,11.5200
EV Charger,EV Charger,Rivian Automotive LLC,PT00261633,11.5200
EV Charger,EV Charger,"MIDA,",MD-EVH-32AB,11.5200
EV Charger,EV Charger,GK,E18-48A-01,11.5200
EV Charger,EV Charger,WALLBOX,PUP2-U-1-6-C-002,11.5200
EV Charger,EV Charger,WALLBOX,PUP1-U-1-6-C-002,11.5200
EV Charger,EV Charger,WALLBOX,PUP3-*1-1-6-C-*2,11.5200
EV Charger,EV Charger,Star Charge,DH-AC0115XG74-N,11.5200
EV Charger,EV Charger,Joint,JNT-EVC10/48AC/01C/XX/RF/4G,11.5200
EV Charger,EV Charger,Joint,JNT-EVC15/48AC/01C/XX/RF/WF,11.5200
EV Charger,EV Charger,Joint,JNT-EVM002/48AC/01C/XX/RF/4G,11.5200
EV Charger,EV Charger,Topstar,TSE240V/32AUS-H01R001,11.5200
EV Charger,EV Charger,Zerova,AXLU111001D,11.5200
EV Charger,EV Charger,Zerova,AXLU111001-40 AXLU111001-32,11.5200
EV Charger,EV Charger,Zerova,AWLU111001,11.5200
EV Charger,EV Charger,Auxus,UCS-DP-48,11.5200
EV Charger,EV Charger,Auxus,UCS-Z21-48,11.5200
EV Charger,EV Charger,TESSAN,CH-EV201W,11.5200
EV Charger,EV Charger,CHARCO,CH-EV201W,11.5200
EV Charger,EV Charger,"Zopoise,",ZB04-U011K**-*###,11.5200
EV Charger,EV Charger,PHIHONG,DSWU182U0UD,11.1111
Kitchen,Oven,Blodgett,Zephaire 100 E,11
Kitchen,Oven,Blodgett,Zephaire 200 E,11
Kitchen,Oven,Rational AG,iCombiPro 6-half elec.,10.8
Kitchen,Oven,Rational AG,iCombiClassic 6-half elec.,10.8
Kitchen,Oven,BKI,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,Blodgett,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Blodgett,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,BKI,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Dieta,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Dieta,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,Firex,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Firex,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,Fri-Jado,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Fri-Jado,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,Houno,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Houno,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,Leventi,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Leventi,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,Sveba Dahlen,Invoq Combi 6 1/1 GN (PT),10.3
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 6 1/1 GN (PT),10.3
Kitchen,Oven,UNOX S.p.A.,XEF*-06EU-E***-***,10.3
Kitchen,Oven,UNOX S.p.A.,XEF*-06FS-E***-***,10.3
Kitchen,Oven,UNOX S.p.A.,XE*A-0611-EX*S-LP,10.1
EV Charger,EV Charger,CENNTRO,Cenntro240-CS-10kW,9.6000
EV Charger,EV Charger,AMPROAD,iFlow-P9,9.6000
EV Charger,EV Charger,(ABB),Terra AC W9-P8-R-*D-*,9.6000
EV Charger,EV Charger,(ABB),Terra AC W9-P8-RD-MCD-0,9.6000
EV Charger,EV Charger,ABB,Terra AC W9-P8-RD-*CD-*,9.6000
EV Charger,EV Charger,TYPES,AC533489,9.6000
EV Charger,EV Charger,AUTEL,Maxi US AC W10-N14-H,9.6000
EV Charger,EV Charger,AUTEL,Maxi US AC W10-N14-H,9.6000
EV Charger,EV Charger,AUTEL,Maxi US AC LW10-N14,9.6000
EV Charger,EV Charger,BTCPower,EVP-2002-40-P-####,9.6000
EV Charger,EV Charger,BTCPower,EVP-2001-40-P-####,9.6000
EV Charger,EV Charger,PowerPump,AC5500,9.6000
EV Charger,EV Charger,PowerPump,"""AC5500 AC4500 ACL4500""",9.6000
EV Charger,EV Charger,(LENZ),EVSE-W1-40-A,9.6000
EV Charger,EV Charger,Leviton,EV40P,9.6000
EV Charger,EV Charger,LITE-ON Technology Corporation,BC3-40A-H,9.6000
EV Charger,EV Charger,LITE-ON Technology Corporation,IC3-40A-H,9.6000
EV Charger,EV Charger,CHARGETROINX,CTX-C40-240-2,9.6000
EV Charger,EV Charger,MAXPEEDINGRODS,EV-7M40A,9.6000
EV Charger,EV Charger,Control Module Inc.,3704-2000-W-20-93-41-51,9.6000
EV Charger,EV Charger,Lectron,EV-Charger40A-1450N,9.6000
EV Charger,EV Charger,Lectron,LECHG14-50-40ABLKUS,9.6000
EV Charger,EV Charger,Lectron,LECHG14-50-40ATSLBLKUS,9.6000
EV Charger,EV Charger,EATON,GMEV40CME1B-WC,9.6000
EV Charger,EV Charger,EATON,GMEV40CIE1B-WC,9.6000
EV Charger,EV Charger,ELECTRIFY AMERICA LLC,EA2R040JPA10-00,9.6000
EV Charger,EV Charger,ELECTRIFY CANADA LP,EC2R040JPA10-00,9.6000
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBO401RNA-PJWX-200,9.6000
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBX401AJ,9.6000
EV Charger,EV Charger,Enphase,HCS-D50,9.6000
EV Charger,EV Charger,EV charging,A9-OP-UL-SH,9.6000
EV Charger,EV Charger,EVIQO,EVIPOWER1,9.6000
EV Charger,EV Charger,EvoCharge,W1-1962-7PT0,9.6000
EV Charger,EV Charger,EvoCharge,W1-1962-2PT0,9.6000
EV Charger,EV Charger,Greenworks tools,EVC0640,9.6000
EV Charger,EV Charger,WOLFBOX,E40,9.6000
EV Charger,EV Charger,LONGSUN,EVC-WB50A,9.6000
EV Charger,EV Charger,WPT,WPTAC-9KW-S24-TD,9.6000
EV Charger,EV Charger,Sinexcel,SEA240/40I-U-6,9.6000
EV Charger,EV Charger,Sinexcel,SEA240/40I-U-6Y,9.6000
EV Charger,EV Charger,TOPBAND,TB-AC240US,9.6000
EV Charger,EV Charger,TOPBAND,TBAC3091USH-LJK,9.6000
EV Charger,EV Charger,WEEYU,M3P140U,9.6000
EV Charger,EV Charger,Injet,iM3C-09K6A,9.6000
EV Charger,EV Charger,Solar Edge,SE-EV-SA-US-40*,9.6000
EV Charger,EV Charger,Shell,SEV-40-03,9.6000
EV Charger,EV Charger,Grizzl-E,GRS-14-24-P,9.6000
EV Charger,EV Charger,Grizzl-E,GR1-14-24-PB,9.6000
EV Charger,EV Charger,Longhorn,ECA-NC8002S-DG40**##,9.6000
EV Charger,EV Charger,Loop Global Inc,EVS-40A-L2-001,9.6000
EV Charger,EV Charger,DeWalt,DXPAEV040,9.6000
EV Charger,EV Charger,GONEO,D3U-B40B,9.6000
EV Charger,EV Charger,Noodoe Corporation,AC9LC,9.6000
EV Charger,EV Charger,MUSTART,MT-16A/25A/32A/40A,9.6000
EV Charger,EV Charger,Legrand,L2EVSE40ACP1450,9.6000
EV Charger,EV Charger,PointGuard,PG EVAC 9.6 WI T1 N6 WH,9.6000
EV Charger,EV Charger,PointGuard,PG EVAC 9.6 WI TS N6 WH,9.6000
EV Charger,EV Charger,PointGuard,PG EVAC 9.6 WI T1 N14 WH,9.6000
EV Charger,EV Charger,PointGuard,PG EVAC 9.6 WI TS N14 WH,9.6000
EV Charger,EV Charger,PortFi,PORTFI40A@240V/RF/4G,9.6000
EV Charger,EV Charger,PowerCharge,E35-SWE-ES,9.6000
EV Charger,EV Charger,PowerCharge,E35-SWP-GW-ATT-ES,9.6000
EV Charger,EV Charger,CHARGECORE,AC006T19,9.6000
EV Charger,EV Charger,RAB,EVC40/LCB,9.6000
EV Charger,EV Charger,RAB,EVC40,9.6000
EV Charger,EV Charger,Schumacher,SEV1600P1450,9.6000
EV Charger,EV Charger,Schumacher,SEV1600P650,9.6000
EV Charger,EV Charger,EN+,AC010K-AU-35,9.6000
EV Charger,EV Charger,EN+,AC010K-AU-35,9.6000
EV Charger,EV Charger,Grizzl-E,GRM-070-W-14-25DJ40-A-GB,9.6000
EV Charger,EV Charger,Star Charge,DH-AC0096XG74-O,9.6000
EV Charger,EV Charger,Iocharger,IOCAH29-32****#,9.6000
EV Charger,EV Charger,TESSAN,CH-EV001M,9.6000
EV Charger,EV Charger,TESSAN,CH-EV001W,9.6000
EV Charger,EV Charger,CHARCO,CH-EV001W,9.6000
Kitchen,Oven,Wells,M4200,9.4
Kitchen,Oven,UNOX S.p.A.,XEVC-0511-EP*M-***,9.3
EV Charger,EV Charger,ChargePoint,CT4000,8.4000
Kitchen,Oven,Southbend,BES/17SC,8.4
EV Charger,EV Charger,EATON,Green Motion 150 kW DC EV Charger,8.2222
Kitchen,Oven,Blodgett,CTB-8,8
Kitchen,Oven,Lang,ECOH-AP,7.8
EV Charger,EV Charger,InCharge,ICE60K3-FDW-UU2,7.7778
EV Charger,EV Charger,INFYPOWER,EXP60K3-FDW-UU2,7.7778
EV Charger,EV Charger,CENNTRO,Cenntro240-CS-7.2kW,7.6800
EV Charger,EV Charger,"Aimiler,",ZA05-U007K**-*###,7.6800
EV Charger,EV Charger,ABB,Terra AC W7-P8-R-CD-0,7.6800
EV Charger,EV Charger,Addenergie Technologies Inc,FH-1-STA-X5,7.6800
EV Charger,EV Charger,Addenergie Technologies Inc,Core+V2PS,7.6800
EV Charger,EV Charger,"Tera,",ZA05-U007K**-*###,7.6800
EV Charger,EV Charger,Webasto Charging Systems Inc,EVSE-CSSS56600012-1003,7.6800
EV Charger,EV Charger,Webasto Charging Systems Inc,CSG1SAE-032016,7.6800
EV Charger,EV Charger,AUTEL,Maxi US AC LW7-N14,7.6800
EV Charger,EV Charger,Blink,HQW1-32C-N1-N1-N-25,7.6800
EV Charger,EV Charger,KWEV,KW7AC/01C/XX/RF/WF,7.6800
EV Charger,EV Charger,Leviton,EV32W,7.6800
EV Charger,EV Charger,Leviton,EV320,7.6800
EV Charger,EV Charger,Lite-On Technology Corp,IC3-32A-H,7.6800
EV Charger,EV Charger,"Deltran Battery Tender,                          ,",022-3017-XX-XX,7.6800
EV Charger,EV Charger,EATON,GMEV32BR-WC,7.6800
EV Charger,EV Charger,EV charging,A7-OP-UL-SH,7.6800
EV Charger,EV Charger,EvoCharge,EVO32-310-001-ESEVO32-310-001-ES,7.6800
EV Charger,EV Charger,INTEGRA ENERGY,IE-IC3-32A-H,7.6800
EV Charger,EV Charger,It's Electric,Brooklyn-718,7.6800
EV Charger,EV Charger,LONGSUN,EVC-WB32A,7.6800
EV Charger,EV Charger,WPT,WPTAC-7KW-S24-TD,7.6800
EV Charger,EV Charger,Andeman,HS1,7.6800
EV Charger,EV Charger,Tesla,1937825-XX-X,7.6800
EV Charger,EV Charger,The Trivial Company,TEV10/32A/WF-RF,7.6800
EV Charger,EV Charger,Loop Global Inc,EVS-32A-L2-001,7.6800
EV Charger,EV Charger,Noodoe Corporation,AC007LISXX25240WUS1,7.6800
EV Charger,EV Charger,OpConnect,OC-IC3-32A-H,7.6800
EV Charger,EV Charger,PowerCharge,E20-SWP-GW-ATT-ES,7.6800
EV Charger,EV Charger,RAB,EVC32/LCB,7.6800
EV Charger,EV Charger,RAB,EVC32,7.6800
EV Charger,EV Charger,Star Charge,DH-AC0070XG74-N,7.6800
EV Charger,EV Charger,Xeal Energy,Xeal-32A,7.6800
EV Charger,EV Charger,"Zopoise,",ZA05-U007K**-*###,7.6800
Kitchen,Oven,UNOX S.p.A.,XAF*-04FS-E***-***,7.6
Kitchen,Oven,Henny Penny,FSE610,7.4
Kitchen,Oven,Henny Penny,FSEN610,7.4
Kitchen,Oven,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,SKECOD610T,7.4
EV Charger,EV Charger,FLO,CoRe+,7.2000
EV Charger,EV Charger,Addenergie Technologies Inc,FH-1-STA-G5,7.2000
EV Charger,EV Charger,Addenergie Technologies Inc,SmartTWO generation 4,7.2000
EV Charger,EV Charger,BTCPower,EVP-2002-30-P-####,7.2000
EV Charger,EV Charger,BTCPower,EVP-2001-30-P-####,7.2000
EV Charger,EV Charger,BTCPower,EVP-2002-30-P-0002,7.2000
EV Charger,EV Charger,BTCPower,EVP-2001-30-P-0002,7.2000
EV Charger,EV Charger,EVBOX,E2300-B45063,7.2000
EV Charger,EV Charger,EVBOX,IQ2303-C15463,7.2000
EV Charger,EV Charger,EVBOX,E2300-B55563,7.2000
EV Charger,EV Charger,TELLUS,UP160J,7.2000
EV Charger,EV Charger,SemaConnect,Model 620,7.2000
EV Charger,EV Charger,SemaConnect,630,7.2000
EV Charger,EV Charger,SemaConnect,730,7.2000
EV Charger,EV Charger,SemaConnect,530,7.2000
Kitchen,Oven,UNOX S.p.A.,XEF*-06FS-E***-SW,7.2
EV Charger,EV Charger,Lectron,EVCharge 14-50-32A,7.0400
Kitchen,Oven,UNOX S.p.A.,XEF*-04EU-E***-***,6.9
Kitchen,Oven,Blodgett,CTB-6.8,6.8
Kitchen,Oven,Eloma,COMPACT PRO,6.4
Kitchen,Oven,Moffat Limited,E33T5,6
Kitchen,Oven,UNOX S.p.A.,XAVC-0511-EP*M-***,5.9
Kitchen,Oven,UNOX S.p.A.,XACC-0513-EP*M-***,5.8
Kitchen,Oven,Moffat Limited,E32D4,5.8
Kitchen,Oven,Moffat Limited,E32D5,5.8
Kitchen,Oven,Rational AG,iCombiPro 6-2/3 elec.,5.7
Kitchen,Oven,Blodgett,CTB-5.6,5.6
Kitchen,Oven,Convotherm,OES6.10 Mini,5.6
Climate Control,Heater,1HVAC,ACIQ-50G-HP-WH,5.5000
Climate Control,Heater,1HVAC,ACIQ-80G-HP-WH,5.5000
Climate Control,Heater,ACIQ,ACIQ-50G-HP-WH,5.5000
Climate Control,Heater,ACIQ,ACIQ-80G-HP-WH,5.5000
Climate Control,Heater,DIYCOOL,ACIQ-50G-HP-WH,5.5000
Climate Control,Heater,DIYCOOL,ACIQ-80G-HP-WH,5.5000
Climate Control,Heater,PolarWave,ACIQ-50G-HP-WH,5.5000
Climate Control,Heater,PolarWave,ACIQ-80G-HP-WH,5.5000
Climate Control,Heater,STEALTH,ACIQ-50G-HP-WH,5.5000
Climate Control,Heater,STEALTH,ACIQ-80G-HP-WH,5.5000
Climate Control,Heater,Midea,CAN3-RSJ-15/190RDVN3-L3,5.5000
Climate Control,Heater,Midea,CAN3-RSJ-15/250RDVN3-L3,5.5000
Climate Control,Heater,Midea,CAN3-RSJ-15/300RDVN3-L3,5.5000
Climate Control,Heater,Midea,MAHW-50VN3A,5.5000
Climate Control,Heater,Midea,MAHW-65VN3A,5.5000
Climate Control,Heater,Midea,MAHW-80VN3A,5.5000
Climate Control,Heater,Midea,MAWH50D2AKH,5.5000
Climate Control,Heater,Midea,MAWH80D2AKH,5.5000
Climate Control,Heater,Midea,MCHW-50VN3A,5.5000
Climate Control,Heater,Midea,MCHW-65VN3A,5.5000
Climate Control,Heater,Midea,MCHW-80VN3A,5.5000
Climate Control,Heater,Midea,US3-RSJ-15/190RDVN3-L3,5.5000
Climate Control,Heater,Midea,US3-RSJ-15/250RDVN3-L3,5.5000
Climate Control,Heater,Midea,US3-RSJ-15/300RDVN3-L3,5.5000
Climate Control,Heater,Kepler,AZMCHW-50VN3A,5.5000
Climate Control,Heater,Kepler,AZMCHW-65VN3A,5.5000
Climate Control,Heater,Kepler,AZMCHW-80VN3A,5.5000
Climate Control,Heater,Bosch,TR7000T - 50CA,5.5000
Climate Control,Heater,Bosch,TR7000T - 50US,5.5000
Climate Control,Heater,Bosch,TR7000T-65CA,5.5000
Climate Control,Heater,Bosch,TR7000T-65US,5.5000
Climate Control,Heater,Bosch,TR7000T - 80CA,5.5000
Climate Control,Heater,Bosch,TR7000T - 80US,5.5000
Climate Control,Heater,Rinnai,REHP65,5.5000
Climate Control,Heater,Rinnai,REHP65BM,5.5000
Climate Control,Heater,Rinnai,REHP65C,5.5000
Climate Control,Heater,stream33,S33-HPWH50,5.5000
Climate Control,Heater,stream33,S33-HPWH80,5.5000
Kitchen,Oven,Hobart,HEC201D,5.4
Kitchen,Oven,Vulcan,ECO2D,5.4
Climate Control,Heater,LG,APHWC501D,5.0000
Climate Control,Heater,LG,APHWC501L,5.0000
Climate Control,Heater,LG,APHWC501M,5.0000
Climate Control,Heater,LG,APHWC502M,5.0000
Climate Control,Heater,LG,APHWC801D,5.0000
Climate Control,Heater,LG,APHWC801L,5.0000
Climate Control,Heater,LG,APHWC801M,5.0000
Climate Control,Heater,Rinnai,REHP50,4.9000
Climate Control,Heater,Rinnai,REHP50BM,4.9000
Climate Control,Heater,Rinnai,REHP50C,4.9000
Climate Control,Heater,Rinnai,REHP80,4.9000
Climate Control,Heater,Rinnai,REHP80BM,4.9000
Climate Control,Heater,Rinnai,REHP80C,4.9000
Kitchen,Oven,Eloma,COMPACT PRO,4.9
Laundry,Dryer,Samsung,DVG45B6305*,4.5517
Climate Control,Heater,A. O. Smith,FPTU-50 1**,4.5000
Climate Control,Heater,A. O. Smith,FPTU-66 1**,4.5000
Climate Control,Heater,A. O. Smith,FPTU-80 1**,4.5000
Climate Control,Heater,American,HPA10240H045DV 2**,4.5000
Climate Control,Heater,American,HPA10250H045DV 2**,4.5000
Climate Control,Heater,American,HPA10266H045DV 2**,4.5000
Climate Control,Heater,American,HPA10280H045DV 2**,4.5000
Climate Control,Heater,American,HPHE10250H045DVCTA-1**,4.5000
Climate Control,Heater,American,HPHE10250H045DVDR 1**,4.5000
Climate Control,Heater,American,HPHE10250H045DVN 1**,4.5000
Climate Control,Heater,American,HPHE10266H045DVCTA-1**,4.5000
Climate Control,Heater,American,HPHE10266H045DVDR 1**,4.5000
Climate Control,Heater,American,HPHE10266H045DVN 1**,4.5000
Climate Control,Heater,American,HPHE10280H045DVCTA-1**,4.5000
Climate Control,Heater,American,HPHE10280H045DVDR 1**,4.5000
Climate Control,Heater,American,HPHE10280H045DVN 1**,4.5000
Climate Control,Heater,American,HPHE6250H045DV 1**,4.5000
Climate Control,Heater,American,HPHE6266H045DV 1**,4.5000
Climate Control,Heater,American,HPHE6280H045DV 1**,4.5000
Climate Control,Heater,American,HPS10250H045DV 2**,4.5000
Climate Control,Heater,American,HPS10266H045DV 2**,4.5000
Climate Control,Heater,American,HPS10280H045DV 2**,4.5000
Climate Control,Heater,State,HP6-50-DHPT 1**,4.5000
Climate Control,Heater,State,HP6-66-DHPT 1**,4.5000
Climate Control,Heater,State,HP6-80-DHPT 1**,4.5000
Climate Control,Heater,State,HPAX-40-DHPT 2**,4.5000
Climate Control,Heater,State,HPAX-50-DHPT 2**,4.5000
Climate Control,Heater,State,HPAX-66-DHPT 2**,4.5000
Climate Control,Heater,A. O. Smith,HP1050H45DV 1**,4.5000
Climate Control,Heater,A. O. Smith,HP1050H45DVCTA-1**,4.5000
Climate Control,Heater,A. O. Smith,HP1080H45DV 1**,4.5000
Climate Control,Heater,A. O. Smith,HP1080H45DVCTA-1**,4.5000
Climate Control,Heater,A. O. Smith,HPA10-40H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPA10-50H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPA10-66H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPA10-80H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPS10-50H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPS10-66H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPS10-80H45DV 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTA-40 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTA-50 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTA-66 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTA-80 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTS-50 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTS-66 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTS-80 2**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-50CTA 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-50DR 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-50N 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-66CTA 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-66DR 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-66N 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-80CTA 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-80DR 1**,4.5000
Climate Control,Heater,A. O. Smith,HPTU-80N 1**,4.5000
Climate Control,Heater,Lochinvar,HPA052KD 1**,4.5000
Climate Control,Heater,Lochinvar,HPA068KD 1**,4.5000
Climate Control,Heater,Lochinvar,HPA082KD 1**,4.5000
Climate Control,Heater,Lochinvar,HPPA040KD 2**,4.5000
Climate Control,Heater,Lochinvar,HPPA050KD 2**,4.5000
Climate Control,Heater,Lochinvar,HPPA065KD 2**,4.5000
Climate Control,Heater,Lochinvar,HPPA080KD 2**,4.5000
Climate Control,Heater,Lochinvar,HPSA050KD 2**,4.5000
Climate Control,Heater,Lochinvar,HPSA065KD 2**,4.5000
Climate Control,Heater,Lochinvar,HPSA080KD 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-40-DHPTA 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-50-DHPHTCTA 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-50-DHPHTNE 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-50-DHPTA 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-50-DHPTS 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-66-DHPHTCTA 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-66-DHPHTNE 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-66-DHPTA 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-66-DHPTS 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-80-DHPHTCTA 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-80-DHPHTNE 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-80-DHPTA 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,10-80-DHPTS 2**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,6-50-DHPHT 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,6-66-DHPHT 1**,4.5000
Climate Control,Heater,RELIANCE WATER HEATERS,6-80-DHPHT 1**,4.5000
Climate Control,Heater,Bradford White,RE2H50S*-*****,4.5000
Climate Control,Heater,Bradford White,RE2H65T**-*****,4.5000
Climate Control,Heater,Bradford White,RE2H80T*-*****,4.5000
Climate Control,Heater,JETGLAS,RE2H50S*-*****,4.5000
Climate Control,Heater,JETGLAS,RE2H65T**-*****,4.5000
Climate Control,Heater,JETGLAS,RE2H80T*-*****,4.5000
Climate Control,Heater,State,HPAX-80-DHPT 2**,4.5000
Climate Control,Heater,State,HPSX-50-DHPT 2**,4.5000
Climate Control,Heater,State,HPSX-66-DHPT 2**,4.5000
Climate Control,Heater,State,HPSX-80-DHPT 2**,4.5000
Climate Control,Heater,State,HPX-50-DHPTCTA 1**,4.5000
Climate Control,Heater,State,HPX-50-DHPTNE 1**,4.5000
